duration,text,hearts
121,omg,0
126,Faster,0
128,FASTER,0
129,nxc is my life,0
129,FASTER,0
129,FASTER,0
131,ONE LAST TIME,0
131,,1
131,FASTER,0
132,hahaha,0
133,TO MEEEEE,0
134,,1
134,,1
134,,1
135,160,0
135,,1
135,,1
135,faster,0
135,,1
136,SHE BELONG S TO ME,0
136,goooooo,0
136,FASTER,0
136,,1
137,FASTER,0
137,Ahhh,0
138,FASTER,0
138,1700000,0
138,,1
138,YES,0
138,;o;;;;;;;,0
138,,1
139,,1
139,yaaaaaas,0
139,FASTER,0
139,,1
139,,3
139,Agah,0
140,,1
140,,1
140,IM DANING NOW,0
140,YES,0
141,HARDERRRR ,0
141,,1
141,,2
141,FASTERRRRR,0
141,,1
142,,7
142,,1
142,,1
142,i know,0
142,,1
143,,6
143,,9
143,,4
143,FASTER!,0
144,,1
144,,1
145,,1
145,YAY,0
145,YES YES YES YESYES,0
145,Fasstterrtrr,0
145,DED,0
146,FASTER,0
146,,8
146,KEEP GOING FASTER,0
146,,1
147,poooooooooooooooooooooooooooooooo,0
147,YAAAAAAAA,0
147,YES,0
148,FASTERRERE,0
148,the 'she' is nonstopop,0
148,FASTER FASTER,0
148,,3
148,,1
149,YES SSSS,0
149,,1
149,,1
149,,7
150,FASTER,0
150,,66
150,I love you all,0
150,,3
150,160,0
150,AAAAAAA,0
150,NON STOPO,0
151,,2
151,FASTER,0
151,fast,0
152,,3
152,160,0
152,WOO,0
152,FASTERFASTERFASTERFASTER,0
152,FASTER,0
153,er,0
153,,1
153,,1
153,ahhhhhhhh,0
153,NON STOP,0
154,160,0
154,FASTER,0
155,160,0
155,,2
155,faster,0
156,,1
156,yeeeesss,0
157,NXC,0
157,SIMON 2020,0
157,AAAAAAAH,0
157,FASTER SIMON!,0
158,There is nothing more sexual than simons hand on the tempo slider ,0
159,hiyaaaaaaaaaaaaaaaaaaaa,0
160,,1
160,MUCH SPEED,0
